GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cozi-backend,com.cozi.backend.entity,Role,21,0,0,0,4,0,1,0,1,0
cozi-backend,com.cozi.backend.entity,Coliving,60,0,0,0,25,0,15,0,15,0
cozi-backend,com.cozi.backend.entity,User,49,25,0,0,21,8,14,3,14,3
cozi-backend,com.cozi.backend.entity,Booking,4,62,0,0,2,27,1,18,1,18
cozi-backend,com.cozi.backend.entity,Coworking,35,25,0,0,15,10,10,5,10,5
cozi-backend,com.cozi.backend.entity,Partner,43,0,0,0,18,0,11,0,11,0
cozi-backend,com.cozi.backend.entity,BookingType,0,15,0,0,0,3,0,1,0,1
cozi-backend,com.cozi.backend.entity,Event,57,0,0,0,24,0,15,0,15,0
cozi-backend,com.cozi.backend,CoziBackendApplication,5,3,0,0,2,1,1,1,1,1
cozi-backend,com.cozi.backend.config,JwtUtils,64,0,0,0,20,0,5,0,5,0
cozi-backend,com.cozi.backend.config,SecurityConfig,118,0,0,0,25,0,6,0,6,0
cozi-backend,com.cozi.backend.config,JwtAuthenticationFilter,61,9,8,0,14,4,6,1,2,1
cozi-backend,com.cozi.backend.service.impl,CustomUserDetailsService,26,0,0,0,6,0,3,0,3,0
cozi-backend,com.cozi.backend.service.impl,UserServiceImpl,205,0,8,0,37,0,16,0,12,0
cozi-backend,com.cozi.backend.service.impl,PartnerServiceImpl,137,0,0,0,24,0,11,0,11,0
cozi-backend,com.cozi.backend.service.impl,CustomUserDetails,43,0,0,0,13,0,10,0,10,0
cozi-backend,com.cozi.backend.service.impl,CoworkingServiceImpl,161,0,0,0,30,0,11,0,11,0
cozi-backend,com.cozi.backend.service.impl,ColivingServiceImpl,161,0,0,0,30,0,11,0,11,0
cozi-backend,com.cozi.backend.service.impl,EventServiceImpl,289,0,6,0,44,0,21,0,18,0
cozi-backend,com.cozi.backend.service.impl,BookingServiceImpl,202,196,25,15,25,46,30,6,11,5
cozi-backend,com.cozi.backend.exception,GlobalExceptionHandler,52,3,2,0,8,1,5,1,4,1
cozi-backend,com.cozi.backend.exception,BusinessException,0,4,0,0,0,2,0,1,0,1
cozi-backend,com.cozi.backend.exception,ResourceNotFoundException,19,0,0,0,2,0,1,0,1,0
cozi-backend,com.cozi.backend.controller,PartnerController,36,0,0,0,10,0,6,0,6,0
cozi-backend,com.cozi.backend.controller,EventController,47,0,0,0,12,0,8,0,8,0
cozi-backend,com.cozi.backend.controller,AuthController,87,0,4,0,20,0,6,0,4,0
cozi-backend,com.cozi.backend.controller,BookingController,30,16,0,0,7,5,4,3,4,3
cozi-backend,com.cozi.backend.controller,CoworkingController,36,0,0,0,10,0,6,0,6,0
cozi-backend,com.cozi.backend.controller,UserController,31,0,0,0,9,0,5,0,5,0
cozi-backend,com.cozi.backend.controller,ColivingController,36,0,0,0,10,0,6,0,6,0
cozi-backend,com.cozi.backend.dto,EventDto,57,0,0,0,24,0,15,0,15,0
cozi-backend,com.cozi.backend.dto,BookingDto,0,66,0,0,0,29,0,19,0,19
cozi-backend,com.cozi.backend.dto,ColivingDto,48,0,0,0,21,0,13,0,13,0
cozi-backend,com.cozi.backend.dto,UserDto,38,0,0,0,17,0,11,0,11,0
cozi-backend,com.cozi.backend.dto,CoworkingDto,48,0,0,0,21,0,13,0,13,0
cozi-backend,com.cozi.backend.dto,PartnerDto,31,0,0,0,14,0,9,0,9,0
cozi-backend,com.cozi.backend.dto,AuthResponse,67,0,0,0,26,0,11,0,11,0
cozi-backend,com.cozi.backend.dto,AuthRequest,17,0,0,0,8,0,5,0,5,0
cozi-backend,com.cozi.backend.dto,RegisterRequest,38,0,0,0,17,0,11,0,11,0
